method,dim,nlive,niter,ncall,logz,logzerr,h

slice,2,500,5002,182249,-5.621546619199075,0.0953877335269032,4.549409853699754
mcmc,2,500,5002,42410,-5.488673428883839,0.0948028125046262,4.493786629393656
slice,2,500,5796,832304,-5.3718478119361865,0.0940933561404614,4.426779834887862
mcmc,2,500,5933,465529,-5.644542297661774,0.0961802997848672,4.625325033353466
slice,2,500,6017,205908,-5.814107754254744,0.0986019203667562,4.861169350006074
mcmc,2,500,5991,54738,-5.760466746010335,0.0982769900053835,4.829183382259124
slice,2,500,6136,211524,-6.052231744402199,0.10088764415343,5.089158371414564
mcmc,2,500,5968,54406,-5.715702320584626,0.0981513937456689,4.816848047108668
slice,2,1000,12856,449942,-5.944852593602373,0.0705854027021716,4.982299074627735
slice,2,1000,12622,450074,-5.806934112753723,0.0699304804461739,4.890272095432716
slice,2,1000,12774,487917,-5.8628558943513145,0.07002143284684,4.903001057924532
slice,2,1000,12002,452340,-6.129186822943742,0.0718466314729084,5.161938454003916
slice,2,1000,12002,400600,-5.844932898894026,0.0698641195873772,4.880995205719344

mcmc,3,500,5614,71556,-10.447562136894573,0.13298627924536988,8.84267523376375
slice,3,1000,15338,780311,-10.726791570640565,0.0953280713135656,9.087441180364252
slice,3,1000,17316,996379,-10.40510063224342,0.093518976051528,8.745798881726277
slice,3,1000,17988,1035396,-11.077769621221451,0.0973229346948361,9.471753617615349
slice,3,1000,17416,1687110,-10.505388766276663,0.0938864614382524,8.814667641396467

slice,4,1000,22311,2173909,-15.401041893459512,0.1141277602146366,13.02514565160959
slice,5,1000,26698,3084345,-19.790573654377056,0.129445012316237,16.756011213550753

slice,10,1000,50734,11706240,-43.99450211896329,0.1943981812600727,37.790652877224105
slice,10,1000,50596,19858498,-43.94351421790964,0.1941499711894379,37.69421131285959

slice,5,1000,27724,3235445,-20.126861725635955,0.1305114351049864,17.03323469316309
mcmc,5,1000,27517,1395905,-19.92181906705309,0.1300010468830286,16.900272190683417
slice,10,1000,51430,11812731,-43.98714934549105,0.194505089160837,37.83222970946517
mcmc,10,1000,50714,3218068,-43.25694425518431,0.192030632787072,36.8757639286033
slice,4,1000,22871,2277946,-15.268322114557568,0.1138511186056777,12.962077207764112
mcmc,4,1000,22626,1429367,-15.024017123567894,0.1125973428543408,12.678161617857974
slice,5,1000,28058,2701144,-20.462487941914784,0.1319557440644478,17.412318391602053
mcmc,5,1000,27446,615864,-19.849847015712296,0.1298394667020204,16.858287113465064
slice,10,1000,52660,12152422,-45.20519462268384,0.1972901819978955,38.92341591276276

slice,2,1000,12723,439290,-5.811777435080223,0.0698411274788158,4.877783087512205,0.041502908347744
slice,3,1000,17500,916576,-10.58915364400846,0.0944426632881927,8.919416648966957,0.0249728555917481
slice,4,1000,22033,1636956,-15.124497516726922,0.1135266557369254,12.888301562810394,0.0299110384894698
slice,2,1000,12653,413502,-5.741876878044371,0.069391574213637,4.815190571846702,0.0022130888397091
slice,3,1000,17633,862839,-10.722209423859187,0.0951883948798441,9.060830519801131,0.0074296733212341
slice,4,1000,21982,1539487,-15.072581047730369,0.1130614242016546,12.78288564250649,0.0130112369773895
slice,3,1000,17391,943626,-10.480370540171029,0.0940120383537813,8.838263355432856,0.0438757906843013
slice,3,1000,17409,862464,-10.498168002318206,0.0942128169167227,8.87605487138392,0.0111443014705882
mcmc,2,1000,10002,93103,-5.895269660838196,0.0704888690948649,4.968680666273007,0.0
slice,2,1000,10002,571127,-5.867408117988223,0.0702596975066547,4.93642509372663,0.2151784821517848
mcmc,2,1000,10002,84541,-5.764809744566973,0.0697962503087264,4.871516557158391,0.0
slice,2,1000,10002,308215,-5.821244359880098,0.06978633553253,4.870132627058863,0.0292970702929707
slice,5,1000,27206,2691250,-19.608826537623735,0.129014188735171,16.644660894994335,0.0383385407094284
